Row Labels,Sum of usd_pledged_real,Count of usd_pledged_real2,Average of usd_pledged_real3
Art,90680446.11,28153,3220.986968
Comics,71518391.77,10819,6610.443828
Crafts,14384280.25,8809,1632.907282
Dance,13010701.87,3768,3452.946356
Design,734220233.4,30070,24417.0347
Fashion,130335278.3,22816,5712.450839
Film & Video,391555058.3,63585,6157.978427
Food,125806502.4,24602,5113.669716
Games,741327289.5,35231,21041.90314
Journalism,12437665.71,4755,2615.702568
Music,200318729.5,51918,3858.367608
Photography,38501610.58,10779,3571.909322
Publishing,133575983.3,39874,3349.951931
Technology,688872493.7,32569,21151.17117
Theater,43716584.21,10913,4005.918099
Grand Total,3430261249,378661,9058.924074
