country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Afghanistan,Asia,55995,2460.0,49481.0,4054.0,1095.0,1416,62.0,322332.0,8152.0,39540117
Albania,Europe,118017,2060.0,81061.0,34896.0,46.0,41041,716.0,509677.0,177243.0,2875580
Algeria,Africa,115410,3040.0,79994.0,32376.0,14.0,2599,68.0,,,44404834
Andorra,Europe,11289,113.0,10795.0,381.0,12.0,145943,1461.0,193595.0,2502780.0,77352
Angola,Africa,21407,521.0,19948.0,938.0,14.0,638,16.0,406827.0,12116.0,33576529
Anguilla,North America,21,,18.0,3.0,,1391,,11052.0,732066.0,15097
Antigua And Barbuda,North America,963,27.0,598.0,338.0,45.0,9777,274.0,16075.0,163200.0,98499
Argentina,South America,2201886,53836.0,1993215.0,154835.0,3469.0,48407,1184.0,8032713.0,176593.0,45487062
Armenia,Asia,179287,3277.0,166702.0,9308.0,,60424,1104.0,780085.0,262908.0,2967146
Aruba,North America,8421,79.0,8074.0,268.0,8.0,78638,738.0,114033.0,1064883.0,107085
Australia,Australia/Oceania,29137,909.0,26231.0,1997.0,,1133,35.0,14965580.0,582149.0,25707455
Austria,Europe,495464,8892.0,459288.0,27284.0,364.0,54793,983.0,6033827.0,667271.0,9042548
Azerbaijan,Asia,240671,3286.0,231061.0,6324.0,,23587,322.0,2716017.0,266188.0,10203370
Bahamas,North America,8765,186.0,7645.0,934.0,2.0,22140,470.0,71942.0,181725.0,395883
Bahrain,Asia,131683,485.0,124823.0,6375.0,61.0,75568,278.0,3321242.0,1905927.0,1742586
Bangladesh,Asia,559168,8571.0,513127.0,37470.0,,3372,52.0,4283246.0,25827.0,165841372
Barbados,North America,3442,38.0,3215.0,189.0,,11967,132.0,133672.0,464747.0,287623
Belarus,Europe,303270,2103.0,294143.0,7024.0,,32102,223.0,5113709.0,541298.0,9447131
Belgium,Europe,809861,22545.0,54642.0,732674.0,503.0,69665,1939.0,10132224.0,871580.0,11625125
Belize,North America,12383,316.0,12004.0,63.0,,30752,785.0,91331.0,226810.0,402676
Benin,Africa,6501,81.0,5552.0,868.0,35.0,527,7.0,520466.0,42162.0,12344364
Bermuda,North America,740,12.0,699.0,29.0,,11913,193.0,182725.0,2941674.0,62116
Bhutan,Asia,868,1.0,866.0,1.0,,1116,1.0,563755.0,725022.0,777570
Bolivia,South America,260059,11974.0,205628.0,42457.0,71.0,22068,1016.0,809636.0,68703.0,11784623
Bosnia And Herzegovina,Europe,144831,5584.0,121441.0,17806.0,,44340,1710.0,717043.0,219521.0,3266393
Botswana,Africa,34999,447.0,29916.0,4636.0,1.0,14676,187.0,880029.0,369016.0,2384799
Brazil,South America,11525477,279602.0,10111954.0,1133921.0,8318.0,53953,1309.0,28600000.0,133882.0,213621654
British Virgin Islands,North America,153,1.0,131.0,21.0,,5038,33.0,13223.0,435368.0,30372
Brunei Darussalam,Asia,199,3.0,185.0,11.0,,452,7.0,110176.0,250161.0,440421
Bulgaria,Europe,283194,11472.0,227059.0,44663.0,577.0,40975,1660.0,1860746.0,269227.0,6911451
Burkina Faso,Africa,12378,144.0,11974.0,260.0,,581,7.0,,,21302241
Burundi,Africa,2461,3.0,773.0,1685.0,,203,,90019.0,7417.0,12136984
Cabo Verde,Africa,16120,156.0,15511.0,453.0,23.0,28774,278.0,125300.0,223660.0,560225
Cambodia,Asia,1430,1.0,818.0,611.0,,85,,555192.0,32888.0,16881123
Cameroon,Africa,40622,601.0,35261.0,4760.0,53.0,1504,22.0,905000.0,33511.0,27006405
Canada,North America,913047,22495.0,858922.0,31630.0,553.0,24044,592.0,25996052.0,684564.0,37974620
Caribbean Netherlands,North America,804,6.0,545.0,253.0,,30461,227.0,7893.0,299045.0,26394
Cayman Islands,North America,474,2.0,437.0,35.0,,7153,30.0,77607.0,1171197.0,66263
Central African Republic,Africa,5023,63.0,4920.0,40.0,2.0,1028,13.0,37104.0,7590.0,4888515
Chad,Africa,4328,155.0,3803.0,370.0,,258,9.0,,,16753724
Channel Islands,Europe,4044,86.0,3965.0,-7.0,1.0,23110,491.0,398127.0,2275154.0,174989
Chile,South America,896231,21772.0,840668.0,33791.0,2053.0,46602,1132.0,10189233.0,529820.0,19231484
China Hong Kong Sar,Asia,11312,203.0,10769.0,340.0,13.0,1500,27.0,9296529.0,1233007.0,7539721
China Macao Sar,Asia,48,,47.0,1.0,,73,,4369.0,6665.0,655539
China,Asia,90062,4636.0,85244.0,182.0,,63,3.0,160000000.0,111163.0,1439323776
Colombia,South America,2305884,61243.0,2206210.0,38431.0,1982.0,44981,1195.0,12020903.0,234492.0,51263550
Comoros,Africa,3646,146.0,3448.0,52.0,,4131,165.0,,,882535
Congo,Africa,9329,131.0,7514.0,1684.0,,1662,23.0,92500.0,16480.0,5612763
Costa Rica,North America,209093,2862.0,188967.0,17264.0,127.0,40784,558.0,729069.0,142208.0,5126791
Cote D Ivoire,Africa,37908,213.0,34616.0,3079.0,,1413,8.0,464302.0,17303.0,26833559
Croatia,Europe,251174,5685.0,241147.0,4342.0,72.0,61451,1391.0,1431342.0,350186.0,4087371
Cuba,North America,62206,373.0,57550.0,4283.0,87.0,5494,33.0,2670824.0,235902.0,11321740
Curacao,North America,5138,22.0,4719.0,397.0,8.0,31222,134.0,55793.0,339033.0,164565
Cyprus,Asia,39869,240.0,2057.0,37572.0,40.0,32854,198.0,2586414.0,2131302.0,1213537
Czech Republic,Europe,1412962,23657.0,1214530.0,174775.0,1993.0,131770,2206.0,9931725.0,926209.0,10722980
Democratic Republic Of The Congo,Africa,27077,717.0,23002.0,3358.0,,296,8.0,,,91453715
Denmark,Europe,221071,2393.0,210114.0,8564.0,40.0,38073,412.0,20628721.0,3552655.0,5806564
Djibouti,Africa,6294,63.0,5987.0,244.0,,6306,63.0,120552.0,120786.0,998066
Dominica,North America,156,,141.0,15.0,,2163,,12325.0,170915.0,72112
Dominican Republic,North America,246299,3226.0,202547.0,40526.0,166.0,22546,295.0,1254317.0,114819.0,10924285
Ecuador,South America,302498,16240.0,263164.0,23094.0,513.0,16965,911.0,1069693.0,59992.0,17830687
Egypt,Africa,191555,11340.0,147767.0,32448.0,90.0,1847,109.0,1000000.0,9645.0,103683741
El Salvador,North America,62377,1954.0,59339.0,1084.0,42.0,9583,300.0,804558.0,123603.0,6509234
Equatorial Guinea,Africa,6562,98.0,5938.0,526.0,24.0,4573,68.0,104454.0,72791.0,1434978
Eritrea,Africa,3055,7.0,2701.0,347.0,,853,2.0,23693.0,6617.0,3580820
Estonia,Europe,86086,728.0,60007.0,25351.0,69.0,64865,549.0,1038888.0,782788.0,1327164
Ethiopia,Africa,176618,2555.0,143828.0,30235.0,531.0,1510,22.0,2233489.0,19098.0,116948417
Faeroe Islands,Europe,661,1.0,657.0,3.0,,13491,20.0,235827.0,4813385.0,48994
Falkland Islands Malvinas,South America,54,,54.0,0.0,,15211,,7077.0,1993521.0,3550
Fiji,Australia/Oceania,66,2.0,60.0,4.0,,73,2.0,33309.0,36968.0,901011
Finland,Europe,67334,800.0,46000.0,20534.0,50.0,12139,144.0,3596402.0,648376.0,5546786
France,Europe,4078133,90762.0,273771.0,3713600.0,4219.0,62380,1388.0,57688372.0,882419.0,65375268
French Guiana,South America,16764,87.0,9995.0,6682.0,6.0,55131,286.0,153467.0,504701.0,304075
French Polynesia,Australia/Oceania,18546,141.0,4842.0,13563.0,3.0,65754,500.0,26355.0,93441.0,282050
Gabon,Africa,16945,101.0,14780.0,2064.0,27.0,7490,45.0,581364.0,256972.0,2262361
Gambia,Africa,5019,153.0,4525.0,341.0,3.0,2037,62.0,51683.0,20976.0,2463909
Georgia,Asia,275685,3658.0,268693.0,3334.0,,69202,918.0,3036115.0,762122.0,3983763
Germany,Europe,2585385,74115.0,2374200.0,137070.0,2848.0,30788,883.0,46319641.0,551604.0,83972604
Ghana,Africa,87985,691.0,83621.0,3673.0,67.0,2791,22.0,945743.0,29999.0,31525924
Gibraltar,Europe,4263,94.0,4143.0,26.0,,126559,2791.0,199224.0,5914499.0,33684
Greece,Europe,222281,7137.0,190188.0,24956.0,564.0,21400,687.0,5868332.0,564964.0,10387083
Greenland,North America,31,,31.0,0.0,,545,,19792.0,348212.0,56839
Grenada,North America,154,1.0,151.0,2.0,,1364,9.0,23330.0,206661.0,112890
Guadeloupe,North America,10614,162.0,2242.0,8210.0,8.0,26524,405.0,141058.0,352493.0,400172
Guatemala,North America,183014,6578.0,168627.0,7809.0,5.0,10085,362.0,977936.0,53889.0,18147294
Guinea Bissau,Africa,3447,52.0,2755.0,640.0,14.0,1723,26.0,55249.0,27618.0,2000440
Guinea,Africa,17851,103.0,15597.0,2151.0,24.0,1334,8.0,157587.0,11777.0,13380782
Guyana,South America,9187,207.0,8311.0,669.0,8.0,11641,262.0,76415.0,96823.0,789223
Haiti,North America,12664,250.0,10177.0,2237.0,,1101,22.0,54379.0,4729.0,11500021
Holy See,Europe,27,,15.0,12.0,,33666,,,,802
Honduras,North America,178925,4360.0,68725.0,105840.0,451.0,17866,435.0,478991.0,47828.0,10014896
Hungary,Europe,529122,17226.0,356679.0,155217.0,1067.0,54871,1786.0,4122541.0,427515.0,9643036
Iceland,Europe,6083,29.0,6027.0,27.0,1.0,17745,85.0,516342.0,1506249.0,342800
India,Asia,11409831,158892.0,11027543.0,223396.0,8944.0,8211,114.0,228280763.0,164286.0,1389530904
Indonesia,Asia,1425044,38573.0,1249947.0,136524.0,,5172,140.0,11664857.0,42332.0,275553769
Iran,Asia,1754933,61330.0,1499301.0,194302.0,3839.0,20708,724.0,11781317.0,139018.0,84746758
Iraq,Asia,763085,13788.0,690620.0,58677.0,458.0,18679,338.0,7419942.0,181628.0,40852352
Ireland,Europe,227316,4534.0,23364.0,199418.0,85.0,45678,911.0,3746076.0,752755.0,4976490
Isle Of Man,Europe,1307,26.0,430.0,851.0,12.0,15313,305.0,38147.0,446948.0,85350
Israel,Asia,821762,6037.0,788685.0,27040.0,602.0,89345,656.0,12970561.0,1410213.0,9197590
Italy,Europe,3238394,102499.0,2605538.0,530357.0,3157.0,53617,1697.0,44802319.0,741771.0,60399096
Jamaica,North America,31305,492.0,15253.0,15560.0,35.0,10539,166.0,246281.0,82916.0,2970264
Japan,Asia,447906,8590.0,426686.0,12630.0,327.0,3549,68.0,8946247.0,70888.0,126203100
Jordan,Asia,486470,5428.0,401319.0,79723.0,638.0,47348,528.0,5223283.0,508386.0,10274252
Kazakhstan,Asia,225685,2856.0,207371.0,15458.0,221.0,11919,151.0,8059566.0,425661.0,18934250
Kenya,Africa,113967,1918.0,88596.0,23453.0,109.0,2087,35.0,1373839.0,25163.0,54598005
Kuwait,Asia,210855,1179.0,195507.0,14169.0,219.0,48868,273.0,1914579.0,443722.0,4314813
Kyrgyzstan,Asia,86990,1484.0,83924.0,1582.0,16.0,13181,225.0,793782.0,120279.0,6599533
Laos,Asia,48,,42.0,6.0,,7,,121017.0,16466.0,7349525
Latvia,Europe,93959,1769.0,84837.0,7353.0,77.0,50207,945.0,1670193.0,892469.0,1871429
Lebanon,Asia,419953,5422.0,331506.0,83025.0,958.0,61723,797.0,3286266.0,483001.0,6803853
Lesotho,Africa,10530,309.0,3922.0,6299.0,,4888,143.0,63155.0,29317.0,2154183
Liberia,Africa,2030,85.0,1899.0,46.0,2.0,395,17.0,76815.0,14943.0,5140590
Libya,Africa,146080,2402.0,132697.0,10981.0,,21059,346.0,789394.0,113798.0,6936782
Liechtenstein,Europe,2612,55.0,2521.0,36.0,2.0,68368,1440.0,29848.0,781259.0,38205
Lithuania,Europe,206290,3416.0,192118.0,10756.0,124.0,76535,1267.0,2226748.0,826141.0,2695360
Luxembourg,Europe,57926,693.0,54481.0,2752.0,25.0,91495,1095.0,2249262.0,3552736.0,633107
Macedonia,Europe,112930,3340.0,98133.0,11457.0,124.0,54207,1603.0,567441.0,272374.0,2083314
Madagascar,Africa,21587,334.0,20494.0,759.0,23.0,766,12.0,128306.0,4552.0,28186960
Malawi,Africa,32864,1084.0,26607.0,5173.0,60.0,1688,56.0,208678.0,10716.0,19474308
Malaysia,Asia,324971,1213.0,308247.0,15511.0,155.0,9951,37.0,6870587.0,210388.0,32656763
Maldives,Asia,21666,64.0,19245.0,2357.0,179.0,39594,117.0,581192.0,1062112.0,547204
Mali,Africa,8933,363.0,6511.0,2059.0,,432,18.0,159785.0,7735.0,20656539
Malta,Europe,26748,354.0,23376.0,3018.0,,60465,800.0,758930.0,1715596.0,442371
Marshall Islands,Australia/Oceania,4,,4.0,0.0,,67,,,,59471
Martinique,North America,6928,47.0,98.0,6783.0,3.0,18472,125.0,108633.0,289642.0,375060
Mauritania,Africa,17457,444.0,16789.0,224.0,14.0,3687,94.0,186789.0,39450.0,4734777
Mauritius,Africa,747,10.0,592.0,145.0,,587,8.0,289552.0,227411.0,1273255
